Tool;Scenario;Model;RunIndex;Iteration;PhaseName;MetricName;MetricValue
Fulib;test;minimal;0;0;Load;Time;76968800
Fulib;test;minimal;0;0;Load;Memory;14680064
Fulib;test;minimal;0;0;Initial;Time;13136900
Fulib;test;minimal;0;0;Initial;Memory;8388608
Fulib;test;minimal;0;1;Update;Time;6267800
Fulib;test;minimal;0;1;Update;Memory;8388608
Fulib;test;minimal;0;2;Update;Time;722800
Fulib;test;minimal;0;2;Update;Memory;8388608
Fulib;test;minimal;0;3;Update;Time;176200
Fulib;test;minimal;0;3;Update;Memory;8388608
Fulib;test;minimal;0;4;Update;Time;352500
Fulib;test;minimal;0;4;Update;Memory;8388608
Fulib;test;minimal;0;5;Update;Time;128000
Fulib;test;minimal;0;5;Update;Memory;8388608
Fulib;test;minimal;0;6;Update;Time;120500
Fulib;test;minimal;0;6;Update;Memory;8388608
Fulib;test;minimal;0;7;Update;Time;351200
Fulib;test;minimal;0;7;Update;Memory;8388608
Fulib;test;minimal;0;8;Update;Time;80400
Fulib;test;minimal;0;8;Update;Memory;8388608
Fulib;scale_samples;1;0;0;Load;Time;3044500
Fulib;scale_samples;1;0;0;Load;Memory;8388608
Fulib;scale_samples;1;0;0;Initial;Time;352300
Fulib;scale_samples;1;0;0;Initial;Memory;8388608
Fulib;scale_samples;1;0;1;Update;Time;291000
Fulib;scale_samples;1;0;1;Update;Memory;8388608
Fulib;scale_samples;1;0;2;Update;Time;147900
Fulib;scale_samples;1;0;2;Update;Memory;8388608
Fulib;scale_samples;1;0;3;Update;Time;112100
Fulib;scale_samples;1;0;3;Update;Memory;8388608
Fulib;scale_samples;1;0;4;Update;Time;162300
Fulib;scale_samples;1;0;4;Update;Memory;8388608
Fulib;scale_samples;1;0;5;Update;Time;74800
Fulib;scale_samples;1;0;5;Update;Memory;8388608
Fulib;scale_samples;1;0;6;Update;Time;113000
Fulib;scale_samples;1;0;6;Update;Memory;8388608
Fulib;scale_samples;1;0;7;Update;Time;197000
Fulib;scale_samples;1;0;7;Update;Memory;8388608
Fulib;scale_samples;1;0;8;Update;Time;82100
Fulib;scale_samples;1;0;8;Update;Memory;8388608
Fulib;scale_samples;2;0;0;Load;Time;3291600
Fulib;scale_samples;2;0;0;Load;Memory;8388608
Fulib;scale_samples;2;0;0;Initial;Time;479300
Fulib;scale_samples;2;0;0;Initial;Memory;8388608
Fulib;scale_samples;2;0;1;Update;Time;233600
Fulib;scale_samples;2;0;1;Update;Memory;8388608
Fulib;scale_samples;2;0;2;Update;Time;84800
Fulib;scale_samples;2;0;2;Update;Memory;8388608
Fulib;scale_samples;2;0;3;Update;Time;147200
Fulib;scale_samples;2;0;3;Update;Memory;8388608
Fulib;scale_samples;2;0;4;Update;Time;371400
Fulib;scale_samples;2;0;4;Update;Memory;8388608
Fulib;scale_samples;2;0;5;Update;Time;122100
Fulib;scale_samples;2;0;5;Update;Memory;8388608
Fulib;scale_samples;2;0;6;Update;Time;135100
Fulib;scale_samples;2;0;6;Update;Memory;8388608
Fulib;scale_samples;2;0;7;Update;Time;391700
Fulib;scale_samples;2;0;7;Update;Memory;8388608
Fulib;scale_samples;2;0;8;Update;Time;129900
Fulib;scale_samples;2;0;8;Update;Memory;8388608
Fulib;scale_samples;4;0;0;Load;Time;4239100
Fulib;scale_samples;4;0;0;Load;Memory;8388608
Fulib;scale_samples;4;0;0;Initial;Time;877100
Fulib;scale_samples;4;0;0;Initial;Memory;8388608
Fulib;scale_samples;4;0;1;Update;Time;338900
Fulib;scale_samples;4;0;1;Update;Memory;8388608
Fulib;scale_samples;4;0;2;Update;Time;134000
Fulib;scale_samples;4;0;2;Update;Memory;8388608
Fulib;scale_samples;4;0;3;Update;Time;148500
Fulib;scale_samples;4;0;3;Update;Memory;8388608
Fulib;scale_samples;4;0;4;Update;Time;517000
Fulib;scale_samples;4;0;4;Update;Memory;8388608
Fulib;scale_samples;4;0;5;Update;Time;144900
Fulib;scale_samples;4;0;5;Update;Memory;8388608
Fulib;scale_samples;4;0;6;Update;Time;115500
Fulib;scale_samples;4;0;6;Update;Memory;8388608
Fulib;scale_samples;4;0;7;Update;Time;632100
Fulib;scale_samples;4;0;7;Update;Memory;8388608
Fulib;scale_samples;4;0;8;Update;Time;88700
Fulib;scale_samples;4;0;8;Update;Memory;8388608
Fulib;scale_samples;8;0;0;Load;Time;4537000
Fulib;scale_samples;8;0;0;Load;Memory;8388608
Fulib;scale_samples;8;0;0;Initial;Time;1691200
Fulib;scale_samples;8;0;0;Initial;Memory;8388608
Fulib;scale_samples;8;0;1;Update;Time;489300
Fulib;scale_samples;8;0;1;Update;Memory;8388608
Fulib;scale_samples;8;0;2;Update;Time;163600
Fulib;scale_samples;8;0;2;Update;Memory;8388608
Fulib;scale_samples;8;0;3;Update;Time;131500
Fulib;scale_samples;8;0;3;Update;Memory;8388608
Fulib;scale_samples;8;0;4;Update;Time;688100
Fulib;scale_samples;8;0;4;Update;Memory;8388608
Fulib;scale_samples;8;0;5;Update;Time;187000
Fulib;scale_samples;8;0;5;Update;Memory;8388608
Fulib;scale_samples;8;0;6;Update;Time;92300
Fulib;scale_samples;8;0;6;Update;Memory;8388608
Fulib;scale_samples;8;0;7;Update;Time;737000
Fulib;scale_samples;8;0;7;Update;Memory;8388608
Fulib;scale_samples;8;0;8;Update;Time;77500
Fulib;scale_samples;8;0;8;Update;Memory;8388608
Fulib;scale_samples;16;0;0;Load;Time;3763500
Fulib;scale_samples;16;0;0;Load;Memory;8388608
Fulib;scale_samples;16;0;0;Initial;Time;1746400
Fulib;scale_samples;16;0;0;Initial;Memory;8388608
Fulib;scale_samples;16;0;1;Update;Time;920400
Fulib;scale_samples;16;0;1;Update;Memory;8388608
Fulib;scale_samples;16;0;2;Update;Time;530100
Fulib;scale_samples;16;0;2;Update;Memory;8388608
Fulib;scale_samples;16;0;3;Update;Time;196700
Fulib;scale_samples;16;0;3;Update;Memory;8388608
Fulib;scale_samples;16;0;4;Update;Time;451500
Fulib;scale_samples;16;0;4;Update;Memory;8388608
Fulib;scale_samples;16;0;5;Update;Time;439900
Fulib;scale_samples;16;0;5;Update;Memory;8388608
Fulib;scale_samples;16;0;6;Update;Time;123300
Fulib;scale_samples;16;0;6;Update;Memory;8388608
Fulib;scale_samples;16;0;7;Update;Time;734400
Fulib;scale_samples;16;0;7;Update;Memory;8388608
Fulib;scale_samples;16;0;8;Update;Time;400800
Fulib;scale_samples;16;0;8;Update;Memory;8388608
Fulib;scale_samples;16;0;9;Update;Time;88900
Fulib;scale_samples;16;0;9;Update;Memory;8388608
Fulib;scale_samples;32;0;0;Load;Time;4719300
Fulib;scale_samples;32;0;0;Load;Memory;8388608
Fulib;scale_samples;32;0;0;Initial;Time;3869000
Fulib;scale_samples;32;0;0;Initial;Memory;8388608
Fulib;scale_samples;32;0;1;Update;Time;896200
Fulib;scale_samples;32;0;1;Update;Memory;8388608
Fulib;scale_samples;32;0;2;Update;Time;1410300
Fulib;scale_samples;32;0;2;Update;Memory;14680064
Fulib;scale_samples;32;0;3;Update;Time;1749500
Fulib;scale_samples;32;0;3;Update;Memory;10485760
Fulib;scale_samples;32;0;4;Update;Time;637900
Fulib;scale_samples;32;0;4;Update;Memory;10485760
Fulib;scale_samples;32;0;5;Update;Time;606600
Fulib;scale_samples;32;0;5;Update;Memory;10485760
Fulib;scale_samples;32;0;6;Update;Time;568000
Fulib;scale_samples;32;0;6;Update;Memory;10485760
Fulib;scale_samples;32;0;7;Update;Time;1041200
Fulib;scale_samples;32;0;7;Update;Memory;10485760
Fulib;scale_samples;32;0;8;Update;Time;576200
Fulib;scale_samples;32;0;8;Update;Memory;10485760
Fulib;scale_samples;32;0;9;Update;Time;924500
Fulib;scale_samples;32;0;9;Update;Memory;10485760
Fulib;scale_samples;32;0;10;Update;Time;83800
Fulib;scale_samples;32;0;10;Update;Memory;10485760
Fulib;scale_samples;64;0;0;Load;Time;10641900
Fulib;scale_samples;64;0;0;Load;Memory;10485760
Fulib;scale_samples;64;0;0;Initial;Time;5893200
Fulib;scale_samples;64;0;0;Initial;Memory;10485760
Fulib;scale_samples;64;0;1;Update;Time;3118800
Fulib;scale_samples;64;0;1;Update;Memory;10485760
Fulib;scale_samples;64;0;2;Update;Time;1499100
Fulib;scale_samples;64;0;2;Update;Memory;14680064
Fulib;scale_samples;64;0;3;Update;Time;2378700
Fulib;scale_samples;64;0;3;Update;Memory;14680064
Fulib;scale_samples;64;0;4;Update;Time;2286100
Fulib;scale_samples;64;0;4;Update;Memory;14680064
Fulib;scale_samples;64;0;5;Update;Time;4003400
Fulib;scale_samples;64;0;5;Update;Memory;14680064
Fulib;scale_samples;64;0;6;Update;Time;2226600
Fulib;scale_samples;64;0;6;Update;Memory;14680064
Fulib;scale_samples;64;0;7;Update;Time;2297500
Fulib;scale_samples;64;0;7;Update;Memory;14680064
Fulib;scale_samples;64;0;8;Update;Time;3801600
Fulib;scale_samples;64;0;8;Update;Memory;14680064
Fulib;scale_samples;64;0;9;Update;Time;2406600
Fulib;scale_samples;64;0;9;Update;Memory;14680064
Fulib;scale_samples;64;0;10;Update;Time;1811000
Fulib;scale_samples;64;0;10;Update;Memory;14680064
Fulib;scale_samples;64;0;11;Update;Time;1967500
Fulib;scale_samples;64;0;11;Update;Memory;14680064
Fulib;scale_samples;128;0;0;Load;Time;10307300
Fulib;scale_samples;128;0;0;Load;Memory;10485760
Fulib;scale_samples;128;0;0;Initial;Time;9317800
Fulib;scale_samples;128;0;0;Initial;Memory;10485760
Fulib;scale_samples;128;0;1;Update;Time;4000600
Fulib;scale_samples;128;0;1;Update;Memory;17825792
Fulib;scale_samples;128;0;2;Update;Time;5287500
Fulib;scale_samples;128;0;2;Update;Memory;14680064
Fulib;scale_samples;128;0;3;Update;Time;6690400
Fulib;scale_samples;128;0;3;Update;Memory;14680064
Fulib;scale_samples;128;0;4;Update;Time;8680800
Fulib;scale_samples;128;0;4;Update;Memory;14680064
Fulib;scale_samples;128;0;5;Update;Time;9824500
Fulib;scale_samples;128;0;5;Update;Memory;14680064
Fulib;scale_samples;128;0;6;Update;Time;11857800
Fulib;scale_samples;128;0;6;Update;Memory;14680064
Fulib;scale_samples;128;0;7;Update;Time;14622000
Fulib;scale_samples;128;0;7;Update;Memory;14680064
Fulib;scale_samples;128;0;8;Update;Time;8973100
Fulib;scale_samples;128;0;8;Update;Memory;17825792
Fulib;scale_samples;128;0;9;Update;Time;6863300
Fulib;scale_samples;128;0;9;Update;Memory;14680064
Fulib;scale_samples;128;0;10;Update;Time;6349800
Fulib;scale_samples;128;0;10;Update;Memory;14680064
Fulib;scale_samples;128;0;11;Update;Time;4829700
Fulib;scale_samples;128;0;11;Update;Memory;14680064
Fulib;scale_samples;128;0;12;Update;Time;3125100
Fulib;scale_samples;128;0;12;Update;Memory;14680064
Fulib;scale_samples;256;0;0;Load;Time;26444300
Fulib;scale_samples;256;0;0;Load;Memory;14680064
Fulib;scale_samples;256;0;0;Initial;Time;14789000
Fulib;scale_samples;256;0;0;Initial;Memory;14680064
Fulib;scale_samples;256;0;1;Update;Time;5091100
Fulib;scale_samples;256;0;1;Update;Memory;25165824
Fulib;scale_samples;256;0;2;Update;Time;3529500
Fulib;scale_samples;256;0;2;Update;Memory;20971520
Fulib;scale_samples;256;0;3;Update;Time;4110800
Fulib;scale_samples;256;0;3;Update;Memory;17825792
Fulib;scale_samples;256;0;4;Update;Time;8032900
Fulib;scale_samples;256;0;4;Update;Memory;20971520
Fulib;scale_samples;256;0;5;Update;Time;8129200
Fulib;scale_samples;256;0;5;Update;Memory;17825792
Fulib;scale_samples;256;0;6;Update;Time;7390600
Fulib;scale_samples;256;0;6;Update;Memory;20971520
Fulib;scale_samples;256;0;7;Update;Time;12942300
Fulib;scale_samples;256;0;7;Update;Memory;17825792
Fulib;scale_samples;256;0;8;Update;Time;11576200
Fulib;scale_samples;256;0;8;Update;Memory;20971520
Fulib;scale_samples;256;0;9;Update;Time;8507600
Fulib;scale_samples;256;0;9;Update;Memory;17825792
Fulib;scale_samples;256;0;10;Update;Time;15387300
Fulib;scale_samples;256;0;10;Update;Memory;25165824
Fulib;scale_samples;256;0;11;Update;Time;8868900
Fulib;scale_samples;256;0;11;Update;Memory;20971520
Fulib;scale_samples;256;0;12;Update;Time;10801700
Fulib;scale_samples;256;0;12;Update;Memory;20971520
Fulib;scale_samples;256;0;13;Update;Time;8042900
Fulib;scale_samples;256;0;13;Update;Memory;17825792
Fulib;scale_samples;512;0;0;Load;Time;51162000
Fulib;scale_samples;512;0;0;Load;Memory;17825792
Fulib;scale_samples;512;0;0;Initial;Time;29343800
Fulib;scale_samples;512;0;0;Initial;Memory;17825792
Fulib;scale_samples;512;0;1;Update;Time;21637500
Fulib;scale_samples;512;0;1;Update;Memory;38797312
Fulib;scale_samples;512;0;2;Update;Time;10992200
Fulib;scale_samples;512;0;2;Update;Memory;28311552
Fulib;scale_samples;512;0;3;Update;Time;6946400
Fulib;scale_samples;512;0;3;Update;Memory;25165824
Fulib;scale_samples;512;0;4;Update;Time;18219800
Fulib;scale_samples;512;0;4;Update;Memory;28311552
Fulib;scale_samples;512;0;5;Update;Time;24680700
Fulib;scale_samples;512;0;5;Update;Memory;28311552
Fulib;scale_samples;512;0;6;Update;Time;17843400
Fulib;scale_samples;512;0;6;Update;Memory;28311552
Fulib;scale_samples;512;0;7;Update;Time;24453400
Fulib;scale_samples;512;0;7;Update;Memory;28311552
Fulib;scale_samples;512;0;8;Update;Time;23256300
Fulib;scale_samples;512;0;8;Update;Memory;28311552
Fulib;scale_samples;512;0;9;Update;Time;22829100
Fulib;scale_samples;512;0;9;Update;Memory;28311552
Fulib;scale_samples;512;0;10;Update;Time;22391600
Fulib;scale_samples;512;0;10;Update;Memory;28311552
Fulib;scale_samples;512;0;11;Update;Time;23130300
Fulib;scale_samples;512;0;11;Update;Memory;28311552
Fulib;scale_samples;512;0;12;Update;Time;22911400
Fulib;scale_samples;512;0;12;Update;Memory;28311552
Fulib;scale_samples;512;0;13;Update;Time;30022500
Fulib;scale_samples;512;0;13;Update;Memory;28311552
Fulib;scale_samples;512;0;14;Update;Time;23793500
